,goldstein_DirectFX_IndiaChina,goldstein_DirectFX_IndiaPak,goldstein_OilSupply,goldstein_RiskOff_RusUkr,goldstein_Combined
2015-01-01,0.0,0.0,0.0,4.4,4.4
2015-01-02,0.0,0.5,4.086538461538461,3.98518412276119,4.086538461538461
2015-01-03,0.0,5.0,3.7012745895400014,3.6094755664336073,5.0
2015-01-04,0.0,4.5286183213195335,3.540625,3.2691874361012867,4.5286183213195335
2015-01-05,0.0,4.10167678003819,3.872093023255814,2.960980423791184,4.10167678003819
2015-01-06,0.0,3.7149857228423713,3.5070462813939645,2.681830039249846,3.7149857228423713
2015-01-07,0.0,3.36475048158089,3.2279411764705883,2.428996930082388,3.36475048158089
2015-01-08,0.0,3.0475341355111887,3.1248,2.2,3.1248
2015-01-09,0.0,2.7602237841845314,2.830205306091856,1.992592061380595,2.830205306091856
2015-01-10,0.0,2.5,2.563383920452667,1.804737783216804,2.563383920452667
2015-01-11,0.0,2.2643091606597667,2.321717477347568,1.6345937180506434,2.321717477347568
2015-01-12,0.0,2.0508383900190945,2.102834460968793,1.4804902118955918,2.102834460968793
2015-01-13,0.0,1.8574928614211856,1.9045869333290724,1.340915019624923,1.9045869333290724
2015-01-14,0.0,1.682375240790445,5.604347826086957,1.2144984650411936,5.604347826086957
2015-01-15,0.0,2.0,5.075990448852938,1.1,5.075990448852938
2015-01-16,0.0,5.0,4.597444669103676,0.9962960306902976,5.0
2015-01-17,0.0,4.5286183213195335,4.164014431951145,0.9023688916084018,4.5286183213195335
2015-01-18,0.0,4.10167678003819,3.771446409354581,0.8172968590253218,4.10167678003819
2015-01-19,0.0,3.7149857228423713,3.415888261455585,0.7402451059477958,3.7149857228423713
2015-01-20,0.0,3.36475048158089,3.093850832881618,1.1904761904761905,3.36475048158089
2015-01-21,0.0,3.0475341355111887,2.8021739130434784,1.0782424574570315,3.0475341355111887
2015-01-22,0.0,2.7602237841845314,2.537995224426469,0.9765897095329024,2.7602237841845314
